Date,Win Rate,Daily PnL %,Trades,Profit/Loss Ratio,Comment
2026-06-01,0.83,1.38,6,0.48,
2026-06-02,0.62,-0.49,8,0.50,
2026-06-03,0.50,3.47,4,2.74,
2026-06-04,0.00,2.34,1,N/A,All losses -- no winning trades to average
2026-06-05,0.50,-3.41,2,N/A,"Derived ratio negative -- small-sample loss assumption breaks down, unreliable"
2026-06-08,0.60,-0.39,30,0.65,
2026-06-09,1.00,2.64,2,N/A,All wins -- no losing trades to compare against
2026-06-10,1.00,0.56,1,N/A,All wins -- no losing trades to compare against
2026-06-11,0.20,-1.21,15,3.60,
2026-06-12,0.67,-1.76,12,0.28,
2026-06-15,0.56,10.87,16,1.99,
2026-06-16,0.56,0.88,9,0.98,
2026-06-17,0.50,-0.54,4,0.73,
2026-06-18,0.71,1.61,7,0.72,
2026-06-22,0.70,-2.52,20,0.25,
2026-06-23,0.23,2.31,13,4.10,
2026-06-24,NA,NA,,N/A,No trading data that day
2026-06-25,0.55,3.33,11,1.39,
2026-06-26,0.50,-3.53,6,N/A,"Derived ratio negative -- small-sample loss assumption breaks down, unreliable"
2026-06-29,0.60,-0.18,10,0.64,
2026-06-30,0.50,0.47,8,1.12,
2026-07-01,0.00,3.99,7,N/A,All losses -- no winning trades to average
2026-07-02,0.47,0.40,15,1.20,
2026-07-06,0.40,-6.09,15,0.49,
2026-07-07,0.45,-0.89,20,1.12,
2026-07-08,0.27,-7.53,11,0.16,
2026-07-09,0.46,-1.05,13,0.99,
2026-07-10,0.42,0.59,12,1.52,
2026-07-13,0.69,-1.11,32,0.40,
2026-07-14,0.55,0.05,24,0.85,
2026-07-15,0.40,-0.74,10,1.31,
2026-07-16,0.33,0.05,21,2.01,
2026-07-17,0.57,-0.04,30,0.76,
2026-07-21,0.62,0.03,21,0.62,
2026-07-22,0.82,0.02,17,0.22,
2026-07-23,NA,NA,,N/A,No trading data that day
2026-07-24,0.60,-0.58,30,0.63,
2026-07-27,0.36,-0.17,14,1.77,
2026-07-28,0.62,0.00,21,0.62,
2026-07-29,0.77,0.14,26,0.31,
2026-07-30,0.63,0.09,24,0.61,
